#--- new collection started at 18:08:58---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:43:48---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:45:28---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:52:39---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:54:08---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:55:07---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:56:26---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:57:39---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:59:21---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:50:11---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 18:01:08---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 18:03:04---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 18:04:31---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 18:06:20---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 18:11:20---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 18:13:25---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 18:16:01---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 18:18:13---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 18:20:59---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 18:23:36---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0200   15   39.0999   110.5930   272.0110   29.7356   55.6145  445.6170832840865
#--- new collection started at 18:26:16---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0216   14   37.3868   167.2728   266.1503   29.3252   56.6706  455.4412200981028
FM   2.90   0.0216   15   17.1151   10.9784   260.2655   25.3902   20.7530  455.4863303414509
FM   2.90   0.0216   16   12.2503   170.4614   254.2366   21.2500   28.8831  455.5291632031232
#--- new collection started at 18:28:53---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0247   13   70.9650   569.6136   265.5597   35.7572   84.0705  475.6776034497712
FM   2.90   0.0247   14   49.8788   396.9638   259.0910   31.4787   68.7346  475.7267384881368
FM   2.90   0.0247   16   8.6838   56.8767   246.1600   22.9259   22.1706  475.81772148592836
#--- new collection started at 18:30:53---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0300   12   85.3562   897.6722   252.5799   38.6398   93.7454  510.7516441738281
FM   2.90   0.0300   13   64.0441   728.0695   245.4403   34.1017   79.3870  510.80290954748267
FM   2.90   0.0300   14   41.7618   559.2821   238.2932   29.5459   62.7200  510.8516660705747
FM   2.90   0.0300   15   18.0556   385.8420   230.9136   24.8197   38.9873  510.8980518139766
#--- new collection started at 18:33:51---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0344   12   84.8979   1035.7201   240.5036   38.5665   93.3891  532.0642145682193
FM   2.90   0.0344   13   62.8550   862.5278   232.5075   33.6420   78.2860  532.1151408317639
FM   2.90   0.0344   14   39.9340   696.6279   225.1811   28.9615   61.1189  532.1636495785343
FM   2.90   0.0344   15   15.9699   527.0218   217.6401   24.1246   36.1789  532.2098697196301
#--- new collection started at 18:36:32---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0400   11   95.9531   1282.7313   229.2528   40.8443   99.8837  560.0280374759213
FM   2.90   0.0400   12   72.2841   1106.2344   220.4422   35.5180   84.3359  560.0794175659871
FM   2.90   0.0400   13   49.2417   941.7603   212.4393   30.5536   68.0197  560.1285325637731
FM   2.90   0.0400   14   24.9603   776.8060   204.5035   25.5476   46.8474  560.1754155949493
#--- new collection started at 17:47:43---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0450   11   92.8858   1364.5405   218.8745   40.2404   97.7560  576.3773120908236
FM   2.90   0.0450   12   71.9596   1209.5160   210.8064   35.3817   83.8041  576.4272935273784
FM   2.90   0.0450   13   47.5974   1040.8779   202.1519   30.0706   66.4760  576.4751579880624
#--- new collection started at 18:39:03---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0500   11   98.6208   1507.1259   211.8338   41.6307   101.1511  592.9838270648825
FM   2.90   0.0500   12   77.7440   1356.5553   203.6298   36.7373   87.4679  593.0330020124735
FM   2.90   0.0500   13   52.4345   1187.3096   194.5102   31.2010   70.0464  593.0802442642379
#--- new collection started at 18:41:35---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0600   10   107.2134   1762.6651   197.7637   44.0893   106.2917  625.4389144966358
FM   2.90   0.0600   11   88.0756   1628.9203   189.6974   39.4008   93.8537  625.486344652472
FM   2.90   0.0600   12   66.9525   1482.0037   180.8988   34.2072   79.4087  625.532198739645
