#--- new collection started at 01:07:20---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0080   17   21.0861   1094.0929   336.2258   26.8853   45.1938  400.6705810696731
FM   2.90   0.0080   19   19.0691   1431.2968   327.7695   20.7781   38.3442  400.75713891325904
FM   2.90   0.0080   20   36.9206   1592.8009   323.7659   17.8556   46.0795  400.7969355276133
#--- new collection started at 01:08:39---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 01:09:53---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 01:10:56---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 01:12:07---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 01:13:19---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 01:14:29---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 01:15:42---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 01:17:03---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 01:18:40---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0036   18   29.9815   2438.3420   376.5073   19.9999   46.2854  349.3567288349916
#--- new collection started at 01:20:08---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 01:21:34---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0050   17   8.1563   1802.5713   363.5015   24.2338   23.9271  365.9769984742273
FM   2.90   0.0050   18   18.9498   1971.1152   359.4121   21.4130   38.9252  366.0158835953274
#--- new collection started at 01:23:20---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0060   17   11.1681   1549.5139   354.4295   25.2322   30.1570  377.3627623894334
FM   2.90   0.0060   19   30.3768   1892.7581   346.1613   19.3641   45.4654  377.4419426085051
#--- new collection started at 01:24:59---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0070   17   14.8067   1328.7532   344.8645   25.8295   36.3951  389.06239413835294
FM   2.90   0.0070   18   10.0776   1501.1206   340.7175   22.8178   27.2747  389.10463025880455
FM   2.90   0.0070   19   28.1319   1691.0270   336.2098   19.5082   44.2610  389.1445686513868
#--- new collection started at 01:26:57---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0095   16   24.6572   823.5357   321.7656   27.2520   49.0360  417.5915333577761
FM   2.90   0.0095   17   8.9566   1002.1388   317.1034   23.8667   25.3646  417.6379292099706
FM   2.90   0.0095   19   36.0733   1332.3424   308.4657   17.5848   45.1564  417.72316985059655
#--- new collection started at 01:28:37---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0100   16   20.7360   793.7360   316.2457   26.4405   44.2145  421.5098864523012
FM   2.90   0.0100   17   8.6687   988.2385   311.0187   22.6805   24.4386  421.5558147511727
#--- new collection started at 01:30:29---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0125   15   45.7859   355.3280   309.8727   31.0827   66.6063  435.12769903553675
FM   2.90   0.0125   16   25.5730   543.2726   304.6098   27.3018   49.4713  435.17739004326546
FM   2.90   0.0125   17   9.4418   710.9716   299.9042   23.9194   26.2363  435.2242770693801
FM   2.90   0.0125   18   18.5058   888.3816   295.0223   20.3546   37.1467  435.26858162175216
#--- new collection started at 01:32:01---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0135   15   38.9634   342.1671   302.9467   29.7761   61.0943  440.61601039594996
FM   2.90   0.0135   16   19.7450   518.7840   297.8549   26.1455   42.4727  440.66471132555296
FM   2.90   0.0135   17   8.3082   686.7121   293.0860   22.7023   23.6295  440.7106927552636
FM   2.90   0.0135   18   23.5789   849.0513   288.3603   19.3377   40.4985  440.754182437153
#--- new collection started at 01:33:54---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0140   16   38.9084   306.4341   300.4386   29.7430   60.6846  442.86859410818164
FM   2.90   0.0140   17   19.8441   479.5506   295.2588   26.1213   42.4863  442.9173124183
FM   2.90   0.0140   18   8.2761   641.2001   290.4614   22.7395   23.5560  442.96332415590575
FM   2.90   0.0140   19   25.5244   822.5995   285.3647   18.9998   41.4378  443.0068314770599
#--- new collection started at 01:35:33---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0200   14   69.6660   383.3858   278.2753   35.4253   81.9932  471.6105825719963
FM   2.90   0.0200   15   48.5405   201.8553   271.8782   31.1479   65.2120  471.6628575323221
FM   2.90   0.0200   16   27.8293   34.4141   266.0213   27.1756   37.8975  471.7122859119604
FM   2.90   0.0200   17   8.6145   143.5816   259.9240   23.0174   23.4824  471.7590888674296
#--- new collection started at 01:37:27---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0216   13   72.1278   461.4676   274.7954   35.9456   84.2280  471.46002356453295
FM   2.90   0.0216   14   51.3438   287.9110   268.3868   31.7542   68.7667  471.51123043447916
FM   2.90   0.0216   15   29.8302   114.6142   262.1801   27.5879   48.5968  471.55972588568716
FM   2.90   0.0216   16   9.5971   61.6266   256.0491   23.3981   23.9423  471.60569933014307
#--- new collection started at 01:39:09---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0247   13   70.9650   569.6136   265.5597   35.7572   84.0705  475.6776034497712
FM   2.90   0.0247   14   49.8788   396.9638   259.0910   31.4787   68.7346  475.7267384881368
FM   2.90   0.0247   15   25.5224   213.2217   252.0595   26.8659   47.0254  475.7733872382909
FM   2.90   0.0247   16   8.6838   56.8767   246.1600   22.9259   22.1706  475.81772148592836
#--- new collection started at 01:41:13---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0300   12   67.9303   745.1142   249.8115   35.3571   82.7319  478.80577693180993
FM   2.90   0.0300   13   48.3548   594.2041   243.4507   31.3223   68.4966  478.8513652654486
FM   2.90   0.0300   14   25.6843   426.7834   236.5653   26.8553   48.3435  478.89484545406447
#--- new collection started at 01:43:05---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0344   11   87.6143   1022.5853   247.1322   39.7344   96.1421  468.7795289238419
FM   2.90   0.0344   12   66.3164   858.2772   239.7152   35.1605   81.8716  468.82309943935917
FM   2.90   0.0344   13   43.5254   691.4889   232.3902   30.5281   65.0607  468.86487356333225
