#--- new collection started at 03:51:45---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0080   16   39.2659   910.1463   341.0381   30.2514   63.9441  400.6234067957373
FM   2.90   0.0080   17   21.0861   1094.0929   336.2258   26.8853   45.1938  400.6705810696731
FM   2.90   0.0080   18   8.0511   1282.7158   331.6312   23.5019   23.4533  400.71507640400955
FM   2.90   0.0080   19   19.0691   1431.2968   327.7695   20.7781   38.3442  400.75713891325904
FM   2.90   0.0080   20   36.9206   1592.8009   323.7659   17.8556   46.0795  400.7969355276133
#--- new collection started at 03:53:04---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 03:54:55---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 03:56:02---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 03:57:21---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 03:58:51---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0018   17   17.9397   3206.0808   428.2443   23.2817   39.4704  324.160890256783
FM   2.90   0.0018   18   29.5917   3326.9982   425.1614   21.4903   48.2053  324.18997810825437
FM   2.90   0.0018   19   43.9368   3467.6904   421.6149   19.4082   51.9853  324.2177557495758
#--- new collection started at 04:00:14---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0020   16   9.2760   2915.5061   421.5198   24.6917   26.4865  327.2084422497928
FM   2.90   0.0020   17   20.4505   3062.3263   418.0507   22.5377   41.6723  327.24002309669726
FM   2.90   0.0020   18   36.1190   3225.2645   414.2051   20.1420   49.9637  327.2701156803681
#--- new collection started at 04:01:54---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0025   15   13.5524   2508.7251   412.2154   26.8368   35.1263  333.712448516238
FM   2.90   0.0025   18   34.4412   2962.9375   401.5373   20.0046   48.8691  333.8127079952445
#--- new collection started at 04:03:41---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0030   15   29.5633   2098.4033   404.1720   29.4623   56.5626  340.25519435880165
FM   2.90   0.0030   16   12.9173   2298.7197   399.5694   26.4054   33.8340  340.2937895743611
#--- new collection started at 04:05:41---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0036   15   20.2526   1959.9660   387.4133   27.5238   45.0450  349.2448287688952
FM   2.90   0.0036   16   8.5459   2127.1630   383.6904   24.9168   24.9649  349.2841457858373
FM   2.90   0.0036   17   16.9604   2303.6697   379.4602   22.0964   37.2833  349.3213839344873
FM   2.90   0.0036   18   29.9815   2438.3420   376.5073   19.9999   46.2854  349.3567288349916
#--- new collection started at 04:07:41---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0040   14   27.0956   1732.6935   380.5029   28.6196   53.2959  355.097097337614
FM   2.90   0.0040   15   12.7451   1902.4787   376.6682   25.9118   33.2684  355.13870523321145
FM   2.90   0.0040   16   10.1256   2063.3259   372.8776   23.3098   27.6194  355.17806202408883
FM   2.90   0.0040   17   24.8451   2231.4494   368.9757   20.5983   43.4993  355.21534083062426
#--- new collection started at 04:09:31---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0050   15   34.0141   1469.8810   371.6004   29.7922   60.2984  365.89239208725337
FM   2.90   0.0050   16   18.7924   1637.6674   367.5554   26.9997   42.7433  365.93589855160377
FM   2.90   0.0050   17   8.1563   1802.5713   363.5015   24.2338   23.9271  365.9769984742273
FM   2.90   0.0050   18   18.9498   1971.1152   359.4121   21.4130   38.9252  366.0158835953274
FM   2.90   0.0050   19   37.5624   2151.2863   355.3811   18.4674   47.5904  366.0527448033477
#--- new collection started at 04:11:45---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0060   15   42.9617   1197.2412   362.8764   31.2284   67.9237  377.27413039761785
FM   2.90   0.0060   16   23.7189   1400.4931   357.9765   27.7649   48.9688  377.31971604484596
FM   2.90   0.0060   17   11.1681   1549.5139   354.4295   25.2322   30.1570  377.3627623894334
FM   2.90   0.0060   18   14.3389   1733.2483   349.9028   22.0716   33.7603  377.4034306275401
FM   2.90   0.0060   19   30.3768   1892.7581   346.1613   19.3641   45.4654  377.4419426085051
#--- new collection started at 04:13:44---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0070   15   48.2676   976.2278   353.7806   32.0687   71.7466  388.9702582650844
FM   2.90   0.0070   16   28.9603   1174.7753   348.7825   28.5621   54.6002  389.01767075733994
FM   2.90   0.0070   17   14.8067   1328.7532   344.8645   25.8295   36.3951  389.06239413835294
FM   2.90   0.0070   18   10.0776   1501.1206   340.7175   22.8178   27.2747  389.10463025880455
FM   2.90   0.0070   19   28.1319   1691.0270   336.2098   19.5082   44.2610  389.1445686513868
#--- new collection started at 04:15:52---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0095   15   38.9027   679.9871   325.5699   29.9817   62.8921  417.54230840618635
FM   2.90   0.0095   16   24.6572   823.5357   321.7656   27.2520   49.0360  417.5915333577761
FM   2.90   0.0095   17   8.9566   1002.1388   317.1034   23.8667   25.3646  417.6379292099706
FM   2.90   0.0095   18   20.8456   1199.5725   311.9962   20.1273   39.3336  417.68172934482317
FM   2.90   0.0095   19   36.0733   1332.3424   308.4657   17.5848   45.1564  417.72316985059655
#--- new collection started at 04:18:19---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0100   15   38.4469   620.7829   320.8082   29.7592   62.1688  421.4611773154337
FM   2.90   0.0100   16   20.7360   793.7360   316.2457   26.4405   44.2145  421.5098864523012
FM   2.90   0.0100   17   8.6687   988.2385   311.0187   22.6805   24.4386  421.5558147511727
FM   2.90   0.0100   18   25.8174   1168.2274   306.3694   19.2358   42.1763  421.5992037173138
#--- new collection started at 04:20:54---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0125   15   45.7859   355.3280   309.8727   31.0827   66.6063  435.12769903553675
FM   2.90   0.0125   16   25.5730   543.2726   304.6098   27.3018   49.4713  435.17739004326546
FM   2.90   0.0125   17   9.4418   710.9716   299.9042   23.9194   26.2363  435.2242770693801
FM   2.90   0.0125   18   18.5058   888.3816   295.0223   20.3546   37.1467  435.26858162175216
#--- new collection started at 04:23:01---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0135   14   59.5881   153.3528   308.4312   33.6598   71.1060  440.56436940283845
FM   2.90   0.0135   15   38.9634   342.1671   302.9467   29.7761   61.0943  440.61601039594996
FM   2.90   0.0135   16   19.7450   518.7840   297.8549   26.1455   42.4727  440.66471132555296
FM   2.90   0.0135   17   8.3082   686.7121   293.0860   22.7023   23.6295  440.7106927552636
FM   2.90   0.0135   18   23.5789   849.0513   288.3603   19.3377   40.4985  440.754182437153
#--- new collection started at 04:25:31---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0140   15   58.8835   121.3872   305.6930   33.5473   68.6098  442.8169585784813
FM   2.90   0.0140   16   38.9084   306.4341   300.4386   29.7430   60.6846  442.86859410818164
FM   2.90   0.0140   17   19.8441   479.5506   295.2588   26.1213   42.4863  442.9173124183
FM   2.90   0.0140   18   8.2761   641.2001   290.4614   22.7395   23.5560  442.96332415590575
FM   2.90   0.0140   19   25.5244   822.5995   285.3647   18.9998   41.4378  443.0068314770599
#--- new collection started at 04:27:49---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0200   14   69.6660   383.3858   278.2753   35.4253   81.9932  471.6105825719963
FM   2.90   0.0200   15   48.5405   201.8553   271.8782   31.1479   65.2120  471.6628575323221
FM   2.90   0.0200   16   27.8293   34.4141   266.0213   27.1756   37.8975  471.7122859119604
FM   2.90   0.0200   17   8.6145   143.5816   259.9240   23.0174   23.4824  471.7590888674296
#--- new collection started at 04:30:08---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0216   13   72.1278   461.4676   274.7954   35.9456   84.2280  471.46002356453295
