#--- new collection started at 19:14:07---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:35:59---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.00   0.0013   3   115.0333   283.6358
FM   1.00   0.0013   2   115.0333   283.6358
FM   1.00   0.0013   1   115.0333   283.6358
#--- new collection started at 13:38:12---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.00   0.0018   6   92.8850   244.6568
FM   1.00   0.0018   7   33.6275   112.0560
FM   1.00   0.0018   4   92.8850   244.6568
FM   1.00   0.0018   5   33.6275   112.0560
FM   1.00   0.0018   1   33.6275   112.0560
FM   1.00   0.0018   2   92.8850   244.6568
FM   1.00   0.0018   3   33.6275   112.0560
#--- new collection started at 19:16:22---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.00   0.0020   6   89.0070   237.1419
FM   1.00   0.0020   7   23.5521   82.6221
FM   1.00   0.0020   8   89.0070   237.1419
FM   1.00   0.0020   9   23.5521   82.6221
FM   1.00   0.0020   1   23.5521   82.6221
FM   1.00   0.0020   2   89.0070   237.1419
FM   1.00   0.0020   3   23.5521   82.6221
FM   1.00   0.0020   4   89.0070   237.1419
FM   1.00   0.0020   5   23.5521   82.6221
#--- new collection started at 13:40:26---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.00   0.0025   6   85.6752   230.7456
FM   1.00   0.0025   7   25.9441   89.8289
FM   1.00   0.0025   4   85.6752   230.7456
FM   1.00   0.0025   5   25.9441   89.8289
FM   1.00   0.0025   2   85.6752   230.7456
FM   1.00   0.0025   3   25.9441   89.8289
FM   1.00   0.0025   1   25.9441   89.8289
#--- new collection started at 19:21:23---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:42:39---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 19:29:36---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 19:34:19---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.00   0.0050   12   439.6886   492.7608
FM   1.00   0.0050   10   439.6886   492.7608
FM   1.00   0.0050   8   439.6886   492.7608
FM   1.00   0.0050   6   439.6886   492.7608
FM   1.00   0.0050   2   439.6886   492.7608
FM   1.00   0.0050   4   439.6886   492.7608
#--- new collection started at 19:40:04---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 19:43:30---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 19:49:13---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 20:05:42---
