#--- new collection started at 17:14:58---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:17:09---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:18:19---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:20:17---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:21:26---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:22:39---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:24:13---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:25:26---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:26:48---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:28:47---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:31:12---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:33:18---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:34:48---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:36:35---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:38:53---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:41:34---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   2.90   0.0100   37   40.9546   4220.6619   187.9555   55.8412   83.5378  357.9960456494823
#--- new collection started at 17:43:57---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:46:14---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:48:31---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 17:51:37---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   2.90   0.0200   29   32.9497   2772.8243   158.8939   46.8665   68.5628  446.2376427648456
#--- new collection started at 17:53:46---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   2.90   0.0216   30   8.4288   2933.8715   136.9009   57.7746   27.8561  456.0990807833687
#--- new collection started at 17:56:36---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   2.90   0.0247   32   17.8534   2847.8223   117.9456   64.1878   49.7384  476.42424283195254
#--- new collection started at 17:58:58---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   2.90   0.0300   26   21.8463   2212.0551   117.4332   54.1539   54.6390  511.4745306785423
O1   2.90   0.0300   29   22.9683   2552.6422   96.8744   68.3597   58.0711  511.5325088552076
#--- new collection started at 18:01:16---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 18:04:33---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 18:07:06---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   2.90   0.0450   24   39.0250   1358.3473   89.7390   50.3843   69.7451  577.0394695132502
O1   2.90   0.0450   25   26.8121   1484.7237   83.5831   55.2391   58.7912  577.0621957678109
#--- new collection started at 18:10:31---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 18:13:17---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   2.90   0.0600   22   38.6803   878.2051   62.7952   52.1393   64.4166  626.0948354678756
O1   2.90   0.0600   23   26.9176   991.8404   56.9392   56.9116   54.5760  626.11802002346
O1   2.90   0.0600   24   15.3816   1105.7701   51.0946   61.7535   39.3382  626.1404218140397
O1   2.90   0.0600   27   31.7799   1463.6127   32.0649   77.7474   52.4944  626.2033049943446
#--- new collection started at 18:15:19---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   2.90   0.0700   20   60.3082   428.7461   59.7074   44.0844   68.5566  642.787689066089
#--- new collection started at 18:18:13---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   2.90   0.0800   20   63.3225   181.4911   47.6805   43.5701   61.3248  655.8802145109396
O1   2.90   0.0800   21   50.8852   301.0318   41.7243   48.6890   59.2774  655.9041660517918
O1   2.90   0.0800   22   37.7196   425.2111   35.5887   54.0576   53.0077  655.9273441097588
O1   2.90   0.0800   23   25.6020   534.2089   29.8226   59.0003   43.7579  655.9497919944754
O1   2.90   0.0800   24   13.9423   646.5501   23.9522   64.1336   30.6248  655.9715370690981
O1   2.90   0.0800   25   8.9410   748.9505   18.4257   68.9627   21.9839  655.9926086891046
O1   2.90   0.0800   26   19.1814   871.2965   12.0125   74.7309   26.6828  656.0130331991904
O1   2.90   0.0800   27   32.8097   982.2884   5.8672   80.2153   18.6565  656.0328493376176
#--- new collection started at 18:20:32---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   2.90   0.0900   20   65.7214   13.9453   34.0595   45.2071   28.9006  626.4378565503966
O1   2.90   0.0900   21   53.6779   122.5390   28.4145   50.2469   48.8488  626.4608771576616
O1   2.90   0.0900   22   41.1654   237.1534   22.8000   55.3438   44.2295  626.4832112150146
#--- new collection started at 18:22:57---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   2.90   0.1000   18   65.7433   127.7573   21.0721   47.4659   43.6863  598.3850100511418
O1   2.90   0.1000   19   53.4247   18.8931   15.6198   52.5442   25.8565  598.4068375305956
O1   2.90   0.1000   21   27.9397   215.3887   4.3436   63.1453   13.9618  598.4487108391577
#--- new collection started at 18:25:22---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   2.90   0.1100   20   38.7521   132.5762   9.8210   58.6397   26.2770  548.8976109424382
