#--- new collection started at 19:14:09---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:36:02---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:38:16---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 19:16:22---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:40:27---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 19:21:25---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:42:40---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 19:29:37---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.00   0.0040   1   158.8940   287.0170
#--- new collection started at 19:34:22---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.00   0.0050   1   156.2680   281.5977
#--- new collection started at 19:40:06---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 19:43:31---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.00   0.0070   2   143.9819   271.9131
O1   1.00   0.0070   1   140.2071   259.5799
#--- new collection started at 19:49:15---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 20:05:45---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 20:29:46---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 22:01:05---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.00   0.0125   1   125.5658   235.6680
O1   1.00   0.0125   2   108.6500   218.5520
O1   1.00   0.0125   3   109.5105   227.7572
#--- new collection started at 22:05:35---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.00   0.0135   1   95.8894   199.7738
O1   1.00   0.0135   2   94.1428   203.5984
#--- new collection started at 21:01:35---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 22:37:33---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 22:09:45---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.00   0.0216   1   67.7627   156.4595
O1   1.00   0.0216   2   65.8650   161.0824
#--- new collection started at 22:13:05---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.00   0.0247   1   55.8632   136.7217
O1   1.00   0.0247   2   65.7362   160.1936
#--- new collection started at 22:54:39---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 10:55:27---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.00   0.0344   1   52.2764   127.3040
#--- new collection started at 23:19:50---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 12:03:25---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.00   0.0500   1   69.2195   145.5021
O1   1.00   0.0500   2   73.1555   164.9317
#--- new collection started at 13:27:46---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.00   0.0600   1   15.6872   43.4081
O1   1.00   0.0600   2   86.8374   164.0019
O1   1.00   0.0600   3   96.5368   194.2210
#--- new collection started at 01:11:53---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 01:52:13---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 02:24:25---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 02:49:22---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 03:08:46---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 03:38:27---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 03:57:39---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 04:13:28---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 04:25:55---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 19:14:13---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:36:05---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:38:19---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0018   1   156.6530   269.1217
#--- new collection started at 19:16:26---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0020   1   156.6132   268.0674
#--- new collection started at 13:40:31---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0025   2   150.9524   270.2006
O1   1.10   0.0025   1   162.4506   273.5784
#--- new collection started at 19:21:30---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0030   1   150.0103   260.9923
#--- new collection started at 13:42:44---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0036   1   162.6339   271.3724
O1   1.10   0.0036   2   134.1371   245.2262
#--- new collection started at 19:29:43---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0040   1   147.8732   255.4788
O1   1.10   0.0040   2   126.5266   240.1119
#--- new collection started at 19:34:25---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0050   1   159.7532   265.9152
O1   1.10   0.0050   2   129.4198   236.2007
#--- new collection started at 19:40:10---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0060   1   148.7680   252.7796
O1   1.10   0.0060   2   119.6116   225.2014
#--- new collection started at 19:43:39---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0070   1   138.5569   239.8538
O1   1.10   0.0070   2   109.6955   212.4138
#--- new collection started at 19:49:19---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0080   1   155.6141   255.8911
O1   1.10   0.0080   2   133.9835   232.3931
O1   1.10   0.0080   3   102.0672   199.9710
#--- new collection started at 20:05:47---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 20:29:52---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0100   1   146.3534   241.9914
O1   1.10   0.0100   2   116.2154   207.2979
O1   1.10   0.0100   3   84.1279   172.0417
O1   1.10   0.0100   4   69.9857   161.8424
#--- new collection started at 22:01:10---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0125   1   126.2510   214.6321
O1   1.10   0.0125   2   112.1448   200.0528
O1   1.10   0.0125   3   64.1093   141.5768
O1   1.10   0.0125   4   47.4239   121.9342
#--- new collection started at 22:05:38---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0135   1   102.8158   185.6790
O1   1.10   0.0135   2   83.4265   165.1341
O1   1.10   0.0135   3   42.2145   108.7394
#--- new collection started at 21:01:39---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0140   1   97.0708   178.4589
O1   1.10   0.0140   2   73.0552   151.4071
O1   1.10   0.0140   3   32.4516   90.4100
#--- new collection started at 22:37:40---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0200   1   130.6251   208.1734
O1   1.10   0.0200   2   38.5398   92.8268
O1   1.10   0.0200   3   16.5084   50.9357
#--- new collection started at 22:09:50---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0216   1   56.3997   118.4169
O1   1.10   0.0216   2   25.5755   66.3597
#--- new collection started at 19:59:29---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0247   1   145.3211   185.7869
O1   1.10   0.0247   2   129.4144   165.3857
O1   1.10   0.0247   3   86.5151   113.3955
O1   1.10   0.0247   4   52.5637   79.8890
#--- new collection started at 22:54:47---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0300   1   92.2185   146.4224
O1   1.10   0.0300   2   44.1243   73.2932
O1   1.10   0.0300   4   66.0404   154.0783
#--- new collection started at 10:55:49---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0344   1   106.6867   152.4466
O1   1.10   0.0344   2   37.9629   58.0094
#--- new collection started at 23:19:58---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0400   2   14.1114   29.1129
O1   1.10   0.0400   5   68.9314   157.7679
#--- new collection started at 12:03:58---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0500   1   122.2102   111.9320
O1   1.10   0.0500   3   18.3226   42.9110
#--- new collection started at 13:29:09---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0600   1   89.7519   76.2918
O1   1.10   0.0600   2   42.2068   75.0219
#--- new collection started at 01:12:56---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.0700   2   298.3933   404.0235
O1   1.10   0.0700   3   73.4434   51.8801
O1   1.10   0.0700   4   88.1228   172.2802
#--- new collection started at 01:52:26---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 02:24:49---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 02:49:37---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 03:09:16---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 03:38:30---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 03:58:09---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 04:13:31---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 04:26:26---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.10   0.1500   10   72.9269   67.7005
O1   1.10   0.1500   11   57.8632   66.5380
O1   1.10   0.1500   12   42.4493   69.6092
O1   1.10   0.1500   13   27.3713   63.3978
O1   1.10   0.1500   14   13.2680   41.3132
O1   1.10   0.1500   8   102.6034   92.7880
O1   1.10   0.1500   9   88.0377   79.6097
#--- new collection started at 19:14:33---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:36:18---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0013   3   67.8620   134.5012
O1   1.20   0.0013   1   141.9987   198.0592
O1   1.20   0.0013   2   112.4541   169.6161
#--- new collection started at 13:38:22---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0018   1   160.3451   245.9628
O1   1.20   0.0018   2   128.0116   220.6417
#--- new collection started at 19:16:31---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0020   1   133.6584   220.3326
#--- new collection started at 13:40:35---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0025   1   161.2248   252.2448
O1   1.20   0.0025   2   125.2412   213.8127
#--- new collection started at 19:21:43---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0030   1   138.8792   228.7358
O1   1.20   0.0030   2   106.1269   198.7937
#--- new collection started at 13:42:50---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0036   2   126.6872   216.4906
O1   1.20   0.0036   3   96.8614   190.8092
O1   1.20   0.0036   1   163.3593   255.8927
#--- new collection started at 19:30:10---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0040   1   172.5177   265.9953
O1   1.20   0.0040   2   139.4362   229.0612
O1   1.20   0.0040   3   98.7900   188.3660
#--- new collection started at 19:34:30---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0050   1   174.0620   267.0925
O1   1.20   0.0050   2   143.9811   233.3158
O1   1.20   0.0050   3   102.6487   191.1276
#--- new collection started at 19:40:47---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0060   1   156.9711   246.1806
O1   1.20   0.0060   2   121.8334   209.2736
O1   1.20   0.0060   3   79.3291   166.3879
#--- new collection started at 19:44:07---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0070   1   149.5947   236.4242
O1   1.20   0.0070   2   112.9291   198.4280
O1   1.20   0.0070   3   67.0643   149.4371
#--- new collection started at 19:49:33---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0080   1   151.0647   235.2084
O1   1.20   0.0080   2   118.7774   200.8722
O1   1.20   0.0080   3   73.1137   152.6733
#--- new collection started at 20:05:50---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 20:30:11---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0100   1   143.9437   221.6509
O1   1.20   0.0100   2   114.3051   188.8193
O1   1.20   0.0100   3   71.5245   143.2633
O1   1.20   0.0100   4   24.4251   72.8110
#--- new collection started at 22:01:17---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0125   1   130.1231   201.5398
O1   1.20   0.0125   2   99.9093   168.7631
O1   1.20   0.0125   3   50.8109   112.1996
O1   1.20   0.0125   4   59.1897   139.6602
#--- new collection started at 22:05:45---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.20   0.0135   1   142.6047   215.5917
O1   1.20   0.0135   2   110.0032   177.2674
O1   1.20   0.0135   3   71.6972   135.4635
O1   1.20   0.0135   4   23.8174   67.2949
