#mass   Z   median_TP_age (Myr)
1.00  0.0040  5672.0794
1.00  0.0500  16800.7733
1.00  0.0600  18327.3250
1.00  0.0800  19900.5415
1.00  0.0001  3113.7123
1.00  0.0030  5285.6065
1.00  0.0050  5958.7170
1.00  0.0070  6595.3615
1.00  0.0005  4364.1452
1.00  0.0010  4561.1169
1.00  0.0013  4667.7802
1.00  0.0020  4940.1896
1.00  0.0900  19009.5640
1.00  0.0025  5107.7416
1.00  0.0125  8388.6446
1.00  0.0135  8670.7422
1.00  0.0216  11138.1214
1.00  0.0247  11891.4244
1.00  0.0036  5512.3802
1.00  0.0344  14173.5599
1.00  0.0018  4858.9796
1.00  0.1100  87.6100
1.03  0.0200  9658.8194
1.03  0.0500  15067.3942
1.04  0.0100  6707.8932
1.04  0.0200  9321.3460
1.05  0.0200  8998.6122
1.05  0.0100  6480.9364
1.05  0.0140  7379.2942
1.05  0.0500  14035.4229
1.05  0.0600  15313.6360
1.05  0.0080  5841.4731
1.05  0.0700  15994.3840
1.05  0.0800  16634.5595
1.05  0.0900  15892.9945
1.05  0.1000  15232.5233
1.06  0.0140  7129.2961
1.06  0.0200  8689.8415
1.07  0.0200  8394.5822
1.07  0.0500  13089.7716
1.07  0.0140  6890.3041
1.08  0.0140  6663.7429
1.08  0.0200  8111.4811
1.09  0.0200  7839.6270
1.10  0.0100  5496.1569
1.10  0.0140  6243.0747
1.10  0.0200  7584.3356
1.10  0.0300  9350.0648
1.10  0.0400  10808.0646
1.10  0.0500  11813.8589
1.10  0.0600  12889.4441
1.10  0.1100  11580.8906
1.10  0.0080  4964.8164
1.10  0.0700  13466.4241
1.10  0.1300  14082.6233
1.10  0.0900  13401.0923
1.10  0.0040  4090.7898
1.10  0.0001  127.3474
1.10  0.0030  3825.6378
1.10  0.0050  4288.3176
1.10  0.0060  4499.7145
1.10  0.0070  4725.6139
1.10  0.0005  3194.8102
1.10  0.0010  3329.3146
1.10  0.0013  3402.0629
1.10  0.0020  3588.5303
1.10  0.0025  3703.4800
1.10  0.0125  5949.4687
1.10  0.0135  6144.2287
1.10  0.0216  7843.3130
1.10  0.0247  4608.4789
1.10  0.0036  3981.3543
1.10  0.0344  9967.4740
1.10  0.0018  3533.0413
1.20  0.0600  9359.9913
1.20  0.0300  6809.5276
1.20  0.0100  4070.0696
1.20  0.0140  4609.3664
1.20  0.0800  119.8284
1.20  0.0900  9749.8728
1.20  0.1000  9368.6022
1.20  0.1200  7632.1086
1.20  0.0080  3694.9815
1.20  0.0700  9785.4559
1.20  0.0040  3064.2980
1.20  0.1100  8458.3122
1.20  0.0030  2873.0257
1.20  0.0050  3206.9381
1.20  0.0060  3363.1174
1.20  0.0070  3525.8112
1.20  0.0005  2419.6720
1.20  0.0010  177.8869
1.20  0.0013  1076.6099
1.20  0.0020  2699.6390
1.20  0.0025  2783.1872
1.20  0.0135  4530.4813
1.20  0.0247  4608.4789
1.20  0.0125  4394.1436
1.20  0.0344  7253.0022
1.20  0.0018  2659.6838
1.20  0.0036  2984.4408
1.30  0.0140  3505.5229
1.30  0.0300  5111.1761
1.30  0.0400  5876.2220
1.30  0.0500  6414.0668
1.30  0.0600  6989.0377
1.30  0.0800  7600.2001
1.30  0.1200  4429.1902
1.30  0.1000  7011.8928
1.30  0.0080  2840.5918
1.30  0.0700  7308.2201
1.30  0.1500  4687.6486
1.30  0.0001  1480.7857
1.30  0.0040  2369.7279
1.30  0.0030  2225.7648
1.30  0.0050  2476.7730
1.30  0.0013  1993.0677
1.30  0.0005  1884.4256
1.30  0.0010  1954.1747
1.30  0.0020  2094.2824
1.30  0.0025  2157.2460
1.30  0.0125  0.0000
1.30  0.0216  4332.6576
1.30  0.0247  4608.4789
1.30  0.0018  2063.5031
1.30  0.0036  2310.8431
1.40  0.0140  2747.4436
1.40  0.0600  5353.6920
1.40  0.0200  3267.8811
1.40  0.0080  2239.7436
1.40  0.0800  5816.7573
1.40  0.1000  5380.7823
1.40  0.1100  4885.3830
1.40  0.1300  4010.1060
1.40  0.1400  3625.5060
1.40  0.1500  3270.8907
1.40  0.0040  1882.2773
1.40  0.1200  4429.1902
1.40  0.0050  1966.3999
1.40  0.0060  2055.9910
1.40  0.0030  1769.1674
1.40  0.0013  1588.3651
1.40  0.0005  1503.1866
1.40  0.0010  1557.8526
1.40  0.0070  1008.5897
1.40  0.0020  1669.1329
1.40  0.0125  2630.2585
1.40  0.0135  2710.0377
1.40  0.0216  3367.4832
1.40  0.0247  3567.8151
1.40  0.0344  4186.5012
1.40  0.0025  1719.6081
1.50  0.0100  1966.8842
1.50  0.0140  2197.0139
1.50  0.0200  2596.5543
1.50  0.0500  3862.8555
1.50  0.0600  4193.8380
1.50  0.0095  1924.2644
1.50  0.0300  3120.3325
1.50  0.0800  4551.0129
1.50  0.0080  1804.4502
1.50  0.0900  4368.3656
1.50  0.1300  3158.7708
1.50  0.1400  2861.9986
1.50  0.1500  3625.4941
1.50  0.0050  1589.7189
1.50  0.0060  1658.5019
1.50  0.0030  1438.9431
1.50  0.0040  1527.0320
1.50  0.0070  133.7524
1.50  0.0010  1269.6871
1.50  0.0013  1295.0372
