#--- new collection started at 14:07:17---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:08:42---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:09:58---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:11:43---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:12:59---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:14:10---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:15:40---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:17:11---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:18:35---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:20:38---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:23:36---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:25:36---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:27:13---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:29:04---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:31:37---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:34:18---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:36:50---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:39:05---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:41:30---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:44:36---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:46:56---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0216   16   38.6492   170.4614   254.2366   21.2500   48.3487  455.5291632031232
FM   2.90   0.0216   17   24.1676   322.6395   248.9459   17.5937   37.9750  455.56989091143316
#--- new collection started at 14:50:02---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0247   16   45.7727   56.8767   246.1600   22.9259   45.9189  475.81772148592836
FM   2.90   0.0247   18   14.2159   266.3158   234.2506   14.8200   27.4266  475.8999813627458
FM   2.90   0.0247   19   10.8793   423.3941   228.4458   10.8261   20.9395  475.93816399611194
FM   2.90   0.0247   20   24.6573   571.5989   222.9160   7.0198   21.1366  475.97456465209285
#--- new collection started at 14:52:27---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0300   15   53.1456   385.8420   230.9136   24.8197   60.5793  510.8980518139766
FM   2.90   0.0300   16   34.5959   211.8250   223.8674   20.1234   45.5651  510.94219334839704
FM   2.90   0.0300   17   19.1483   62.7753   217.7525   16.0412   29.6109  510.98422625142825
FM   2.90   0.0300   18   9.0619   95.0821   211.3520   11.7395   18.9768  511.0242674434412
FM   2.90   0.0300   19   22.0557   250.0175   205.0077   7.4348   21.1955  511.0624476918432
#--- new collection started at 14:54:36---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0344   15   50.1244   527.0218   217.6401   24.1246   58.9153  532.2098697196301
FM   2.90   0.0344   16   31.9100   359.5436   210.3642   19.3461   44.1681  532.253920467976
FM   2.90   0.0344   17   14.7168   201.3390   203.2755   14.7340   27.4526  532.2959024181736
FM   2.90   0.0344   18   11.6165   45.9582   196.7129   10.2511   19.0045  532.3359378850809
FM   2.90   0.0344   19   28.4706   109.3765   190.1403   5.7755   17.9637  532.3741554693257
#--- new collection started at 14:57:58---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0400   14   55.4952   776.8060   204.5035   25.5476   63.1518  560.1754155949493
FM   2.90   0.0400   15   35.4601   606.7456   196.5404   20.3868   47.6257  560.2201991185716
FM   2.90   0.0400   16   17.8182   452.2884   189.2881   15.6455   31.3646  560.2629563268998
FM   2.90   0.0400   17   10.2461   290.6443   181.8157   10.6614   19.9666  560.3037822132155
#--- new collection started at 15:00:18---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0450   13   71.9461   1040.8779   202.1519   30.0706   75.3837  576.4751579880624
FM   2.90   0.0450   14   52.4180   876.8471   194.0153   24.9156   61.0617  576.5209869822187
FM   2.90   0.0450   15   32.6158   712.5989   185.8465   19.6913   45.3371  576.5648528536632
FM   2.90   0.0450   16   13.2208   544.6335   177.8564   14.3807   26.2063  576.6068073194594
FM   2.90   0.0450   17   12.5676   400.7671   171.1049   9.8078   21.0672  576.6469415472958
#--- new collection started at 15:03:45---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0500   13   74.7615   1187.3096   194.5102   31.2010   77.8067  593.0802442642379
FM   2.90   0.0500   14   54.8236   1019.2852   185.7202   25.7018   62.9787  593.1255935477934
FM   2.90   0.0500   15   36.6169   868.4374   178.1697   20.7938   48.6824  593.1690856493383
FM   2.90   0.0500   16   17.8605   713.5013   170.3757   15.6876   31.4948  593.2107577948285
FM   2.90   0.0500   17   10.0176   562.3740   162.9516   10.6975   19.8788  593.2506958262487
#--- new collection started at 15:06:38---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0600   12   84.3946   1482.0037   180.8988   34.2072   84.5926  625.532198739645
FM   2.90   0.0600   13   65.3419   1332.5467   172.6200   29.0199   71.0394  625.5764659098238
FM   2.90   0.0600   14   46.2529   1178.5246   163.9608   23.5794   56.3557  625.6191378035019
FM   2.90   0.0600   15   26.2578   1026.5921   155.8354   18.2523   39.8953  625.6602271151542
FM   2.90   0.0600   16   9.0911   869.3064   147.5669   12.7069   20.3436  625.699744491052
#--- new collection started at 15:08:50---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0700   11   84.8091   1645.6892   167.6284   34.7543   84.8576  642.2961841885026
FM   2.90   0.0700   12   63.8028   1488.0601   158.2080   28.9299   69.8904  642.3375597725736
