#--- new collection started at 14:32:35---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0080   20   23.3011   1592.8009   323.7659   17.8556   38.9720  400.7969355276133
FM   2.90   0.0080   22   10.2917   1921.8611   315.7394   11.9125   21.6451  400.87047469782044
FM   2.90   0.0080   24   30.3282   2207.2150   308.5719   6.6845   21.4746  400.93695630944654
FM   2.90   0.0080   25   43.1960   2358.6974   304.6530   3.8722   14.0298  400.9678685140517
FM   2.90   0.0080   26   57.0331   2514.6902   300.7225   1.0379   4.0622  400.9973853224619
FM   2.90   0.0080   27   68.6375   2637.7511   297.4576   1.4157   5.5197  401.02560990843506
#--- new collection started at 14:33:58---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:35:44---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:36:59---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:38:23---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:39:57---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0018   22   10.4553   3869.5017   411.6935   13.4678   23.1772  324.2941813643173
FM   2.90   0.0018   23   16.8321   3989.7003   408.4459   11.6162   26.9913  324.3176101250193
#--- new collection started at 14:41:24---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0020   23   20.2537   3855.9061   398.5129   10.6123   27.3275  327.40189192013906
#--- new collection started at 14:42:59---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0025   25   32.9396   3766.9223   381.9278   7.6092   24.2922  333.9754738519013
#--- new collection started at 14:44:56---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0030   24   28.4017   3466.3832   371.7640   8.1942   24.9648  340.5416326256659
FM   2.90   0.0030   25   38.6012   3597.5839   368.4957   6.0884   20.7098  340.56673077351667
#--- new collection started at 14:46:52---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0036   20   11.3591   2749.8816   369.2776   15.0490   25.3877  349.4222686574251
FM   2.90   0.0036   25   47.8980   3430.2680   352.4775   3.9026   14.2732  349.56166906303633
#--- new collection started at 14:48:51---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0040   23   24.5983   2965.5358   351.5320   8.5889   24.9587  355.37594058440953
#--- new collection started at 14:50:56---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0050   20   16.5851   2271.8042   352.4744   16.4462   32.1604  366.08775413216085
FM   2.90   0.0050   21   9.3310   2437.7206   348.4597   13.6543   21.7763  366.12103412798734
FM   2.90   0.0050   27   68.9181   3274.7880   327.8337   0.7724   3.0476  366.2911427761343
#--- new collection started at 14:53:07---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0060   20   17.5122   2055.6595   342.2685   16.5777   33.1036  377.4784695910853
FM   2.90   0.0060   21   9.7086   2209.3966   338.5535   13.9327   22.4490  377.51316649651
#--- new collection started at 14:55:12---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0070   20   19.6402   1831.1221   332.7442   17.0302   35.3399  389.1824330198315
FM   2.90   0.0070   22   11.9130   2148.5395   325.0817   11.4421   22.8728  389.25252074611103
FM   2.90   0.0070   23   21.8221   2297.7195   321.4189   8.7913   24.5217  389.2850354275327
FM   2.90   0.0070   24   34.1455   2453.1168   317.5347   6.0068   20.0681  389.31602453001153
FM   2.90   0.0070   25   45.1962   2583.9392   314.3263   3.6742   13.4289  389.3456131989505
FM   2.90   0.0070   27   70.0716   2858.0614   307.1686   1.4332   5.5894  389.4009548425726
#--- new collection started at 14:57:30---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0095   20   22.8760   1332.3424   308.4657   17.5848   38.2505  417.72316985059655
FM   2.90   0.0095   21   11.5807   1502.4419   304.2698   14.3976   25.0377  417.76241035853445
FM   2.90   0.0095   23   21.6269   1812.5229   296.0983   8.4393   23.7162  417.83501127987734
FM   2.90   0.0095   24   34.3934   1962.8969   292.0604   5.5182   18.6719  417.86866103076227
FM   2.90   0.0095   25   48.0619   2117.1702   288.2297   2.6016   9.7770  417.9007298919388
FM   2.90   0.0095   26   61.3745   2258.6359   284.2236   0.4612   1.8279  417.9313186799188
#--- new collection started at 15:00:04---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0100   19   19.1644   1305.6137   302.9083   16.6221   34.3618  421.64027084007523
FM   2.90   0.0100   20   9.4781   1474.1013   298.3367   13.3309   21.6744  421.67917972270277
FM   2.90   0.0100   23   38.8516   1928.1952   286.2855   4.4764   15.8011  421.78458630648214
#--- new collection started at 15:02:53---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0125   18   34.0785   888.3816   295.0223   20.3546   48.1996  435.26858162175216
FM   2.90   0.0125   20   9.7755   1224.5802   285.7453   13.5646   22.1811  435.35023132090924
FM   2.90   0.0125   21   12.8990   1370.4055   281.6966   10.5998   22.7084  435.38794593271393
FM   2.90   0.0125   22   24.9194   1521.4145   277.3051   7.4691   22.4369  435.42377770438827
FM   2.90   0.0125   24   52.5640   1816.3229   268.9032   1.4007   5.4257  435.49036306245944
#--- new collection started at 15:05:02---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0135   18   30.4052   849.0513   288.3603   19.3377   44.8193  440.754182437153
FM   2.90   0.0135   20   9.0857   1183.4086   278.8957   12.4377   20.5239  440.83442439632825
FM   2.90   0.0135   21   18.2658   1347.2765   274.3868   9.0713   23.6168  440.8715130481429
FM   2.90   0.0135   22   32.1967   1504.4085   269.7830   5.7604   19.1361  440.9067885229278
FM   2.90   0.0135   23   45.8184   1646.2617   265.6452   2.7729   10.3405  440.9403811034612
FM   2.90   0.0135   24   60.5586   1792.8798   261.2155   0.5690   2.2492  440.9724036313711
#--- new collection started at 15:07:30---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0140   19   28.8987   822.5995   285.3647   18.9998   43.4992  443.0068314770599
FM   2.90   0.0140   23   33.5378   1470.0609   266.7494   5.4380   18.3371  443.1595815057269
FM   2.90   0.0140   24   47.2618   1609.4451   262.4418   2.4217   9.1214  443.19321056984853
