#--- new collection started at 15:29:37---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0080   13   46.5027   864.5215   351.1542   32.9323   71.5897  331.68121203039584
FM   2.90   0.0080   14   31.0841   1018.6603   346.9169   30.1124   57.7668  331.72088730058954
FM   2.90   0.0080   15   14.7255   1186.3795   342.7078   27.1234   36.8532  331.7585475242801
FM   2.90   0.0080   16   9.8091   1350.2622   338.5949   24.1987   27.2175  331.79433634180043
FM   2.90   0.0080   17   25.0900   1506.5980   334.5140   21.3684   44.2929  331.828389218471
#--- new collection started at 15:04:05---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:05:48---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:12:57---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:14:28---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:15:39---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:16:56---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0020   13   9.5612   3000.2701   434.2192   26.4668   27.5846  261.2879823115428
FM   2.90   0.0020   14   21.5720   3145.5437   430.5119   24.3263   44.3927  261.3100929974786
#--- new collection started at 15:18:07---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0025   10   46.8001   2170.6808   433.7514   34.5287   75.3366  267.91455324998566
FM   2.90   0.0025   12   16.9200   2525.2239   425.4412   29.3429   41.6980  267.9693102263602
FM   2.90   0.0025   13   8.1116   2708.9140   420.9361   26.6070   24.4485  267.99499879798816
FM   2.90   0.0025   14   16.7706   2832.7709   417.9119   24.7600   38.9250  268.0196592848796
FM   2.90   0.0025   15   30.3183   2970.2325   414.4322   22.6794   50.1091  268.0433259627856
#--- new collection started at 15:19:53---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0030   11   45.2212   1966.6488   419.8113   33.9469   73.4460  274.4769476858678
FM   2.90   0.0030   13   14.9301   2317.5809   411.2328   28.5974   38.1642  274.53579222053156
FM   2.90   0.0030   15   19.5559   2624.4215   403.7044   23.8922   41.7326  274.5896500930858
FM   2.90   0.0030   16   36.1534   2789.5719   399.8937   21.4014   51.7833  274.61488314835054
#--- new collection started at 15:10:35---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0036   10   43.1151   1743.0313   403.8489   33.2172   70.9868  282.21480012725044
FM   2.90   0.0036   12   13.2711   2082.3916   395.6241   27.8907   35.0221  282.27806777142604
FM   2.90   0.0036   13   9.9836   2249.6771   391.4406   25.2301   28.0115  282.3075547610733
#--- new collection started at 15:21:42---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0040   11   40.9884   1620.4207   394.0591   32.6300   68.7301  287.03509677385944
FM   2.90   0.0040   12   25.9326   1787.2951   390.0083   29.9600   53.2886  287.06872432271456
FM   2.90   0.0040   13   12.9488   1935.7828   386.4835   27.5971   34.3151  287.100772761923
FM   2.90   0.0040   14   10.5566   2106.0159   382.3411   24.8623   28.9773  287.13133336885033
#--- new collection started at 15:23:40---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0050   11   52.9348   1302.6775   385.8881   34.6198   78.2237  296.8626178393237
FM   2.90   0.0050   12   35.4393   1494.2754   381.3194   31.4980   63.2341  296.8985578018543
FM   2.90   0.0050   13   19.9971   1658.6997   376.9718   28.7275   45.4170  296.93277789040343
FM   2.90   0.0050   14   8.8740   1801.8907   373.5545   26.3868   26.0047  296.96537858236326
FM   2.90   0.0050   16   30.1427   2106.8852   365.9476   21.3173   48.0233  297.02612465390376
#--- new collection started at 15:25:09---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0060   12   51.0177   1145.3008   373.9283   34.0932   76.2198  307.562698202219
FM   2.90   0.0060   13   32.9725   1335.4465   369.3617   30.9098   60.4808  307.59995153026745
FM   2.90   0.0060   14   19.5834   1478.7526   365.8357   28.4907   44.6565  307.6353921056205
FM   2.90   0.0060   15   7.9778   1645.2878   361.7031   25.6681   23.8552  307.66910370207285
FM   2.90   0.0060   16   17.0196   1788.9717   358.1043   23.2209   38.0330  307.7012239046833
#--- new collection started at 15:27:09---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
